flight.status.generic.status.type,flight.identification.number.default,flight.identification.callsign,flight.aircraft.model.text,flight.aircraft.country.name,flight.airline.short,flight.airport.origin.position.region.city,final_time,flight.airport.destination.position.region.city
arrival,,OKPHA,Embraer Phenom 300,Czechia,,Athens,2023-11-06 17:50:24,
departure,SK739,SAS739,Mitsubishi CRJ-900LR,Estonia,SAS,,2023-11-06 18:00:00,Stockholm
arrival,FR1502,RYR771Q,Boeing 737-8AS,Poland,Ryanair,Oslo,2023-11-06 18:08:32,
arrival,AY1105,FIN1RE,ATR 72-500,Finland,Finnair,Helsinki,2023-11-06 18:10:40,
arrival,W68026,WZZ1272,Airbus A320-232,Malta,Wizz Air,Eindhoven,2023-11-06 18:23:28,
arrival,LO775,LOT7MW,Embraer E195LR,Poland,LOT,Warsaw,2023-11-06 18:30:00,
departure,AY1106,FIN5MB,ATR 72-500,Finland,Finnair,,2023-11-06 18:50:00,Helsinki
arrival,FR1830,RYR5LZ,Boeing 737-8AS,Poland,Ryanair,Venice,2023-11-06 18:53:20,
departure,FR7655,RYR6HA,Boeing 737-8AS,Poland,Ryanair,,2023-11-06 18:55:00,Eindhoven
departure,FR1835,RYR2UX,Boeing 737-8AS,Poland,Ryanair,,2023-11-06 19:20:00,Bremen
departure,LO776,LOT776,Embraer E195LR,Poland,LOT,,2023-11-06 19:20:00,Warsaw
departure,W68051,WZZ2993,Airbus A320-232,Malta,Wizz Air,,2023-11-06 19:40:00,Milan
arrival,X98012,NVD8012,Airbus A320-232,Malta,Avion Express,Funchal,2023-11-06 20:01:36,
arrival,TK1409,THY3RW,Boeing 737-9F2(ER),Turkey,Turkish Airlines,Istanbul,2023-11-06 20:01:36,
arrival,BT347,BTI9JT,Airbus A220-300,Latvia,Air Baltic,Riga,2023-11-06 20:40:00,
arrival,AY1107,FIN8RD,ATR 72-500,Finland,Finnair,Helsinki,2023-11-06 20:50:00,
arrival,W2306,,Airbus A320-232,Malta,Avion Express,Funchal,2023-11-06 20:50:00,
arrival,FR3466,RYR1QY,Boeing 737 MAX 8-200,Ireland,Ryanair,London,2023-11-06 21:00:00,
arrival,FR7139,RYR7139,Boeing 737-8AS,Ireland,Ryanair,Dublin,2023-11-06 21:00:00,
departure,TK1410,THY1SR,Boeing 737 MAX 9,Turkey,Turkish Airlines,,2023-11-06 21:00:00,Istanbul
departure,FR3467,RYR61WD,Boeing 737 MAX 8-200,Ireland,Ryanair,,2023-11-06 21:25:00,London
departure,AY1108,FIN1108,ATR 72-500,Finland,Finnair,,2023-11-06 21:25:00,Helsinki
departure,BT348,BTI37D,Airbus A220-300,Latvia,Air Baltic,,2023-11-06 21:30:00,Riga
arrival,SK1740,SAS1740,Mitsubishi CRJ-900LR,Estonia,SAS,Stockholm,2023-11-06 21:30:00,
departure,FR7140,RYR4VW,Boeing 737-8AS,Ireland,Ryanair,,2023-11-06 21:35:00,Dublin
arrival,BT966,BTI3PR,Airbus A220-300,Latvia,Air Baltic,Paris,2023-11-06 21:45:00,
arrival,BT926,BTI7RB,Airbus A220-300,Latvia,Air Baltic,Munich,2023-11-06 22:00:00,
departure,,BCS71R,Boeing 737-46J(SF),Bulgaria,Cargo Air,,2023-11-06 22:25:00,Leipzig
arrival,,GJT7MN,Boeing 737-8FE,Lithuania,Getjet Airlines,Antalya,2023-11-06 22:35:00,
arrival,X98530,NVD8530,Airbus A320-232,Malta,Avion Express,Antalya,2023-11-06 23:05:00,
arrival,,GJT3DS,Boeing 737-83N,Lithuania,Getjet Airlines,Antalya,2023-11-06 23:09:00,
arrival,W68044,WZZ6117,Airbus A320-232,Malta,Wizz Air,Larnaca,2023-11-06 23:10:00,
arrival,LO274,LOT274,Embraer E190STD,Poland,LOT,London,2023-11-06 23:15:00,
arrival,SK742,SAS742,Mitsubishi CRJ-900ER,Estonia,SAS,Copenhagen,2023-11-06 23:35:00,
arrival,FR1834,RYR1KG,Boeing 737-8AS,Poland,Ryanair,Bremen,2023-11-06 23:35:00,
arrival,LH888,DLH888,Airbus A321-231,Germany,Lufthansa,Frankfurt,2023-11-06 23:45:00,
arrival,FR7654,RYR7654,Boeing 737-8AS,Poland,Ryanair,Eindhoven,2023-11-06 23:45:00,
arrival,BT349,BTI3LR,Airbus A220-300,Latvia,Air Baltic,Riga,2023-11-06 23:59:00,
arrival,LO773,LOT773,Embraer E195LR,Poland,LOT,Warsaw,2023-11-07 01:00:00,
arrival,W68046,WZZ84SK,Airbus A320-232,Hungary,Wizz Air,Kutaisi,2023-11-07 01:10:00,
arrival,W68052,WZZ731,Airbus A320-232,Malta,Wizz Air,Milan,2023-11-07 01:40:00,
arrival,FH709,FHY709,Airbus A320-232,Turkey,Freebird Airlines,Antalya,2023-11-07 01:58:00,
departure,FH710,FHY710,Airbus A320-232,Turkey,Freebird Airlines,,2023-11-07 02:25:00,Antalya
arrival,U58932,SEU8932,Boeing 737-82R,Ukraine,SkyUp Airlines,Hurghada,2023-11-07 02:30:00,
departure,U58931,SEU8931,Boeing 737-82R,Ukraine,SkyUp Airlines,,2023-11-07 03:40:00,Hurghada
departure,BT350,BTI35G,Airbus A220-300,Latvia,Air Baltic,,2023-11-07 05:40:00,Riga
departure,X98523,NVD8523,Airbus A320-232,Malta,Avion Express,,2023-11-07 05:45:00,Antalya
departure,FR1787,,,,Ryanair,,2023-11-07 05:45:00,Barcelona
departure,,GJT54E,Boeing 737-83N,Lithuania,Getjet Airlines,,2023-11-07 05:55:00,Antalya
departure,,GJT25H,Boeing 737-8FE,Lithuania,Getjet Airlines,,2023-11-07 06:05:00,Antalya
departure,X98701,NVD8701,Airbus A320-232,Malta,Avion Express,,2023-11-07 06:10:00,Hurghada
departure,W68051,WZZ2993,Airbus A320-232,Malta,Wizz Air,,2023-11-07 06:11:00,Milan
departure,LO774,,,,LOT,,2023-11-07 06:20:00,Warsaw
departure,SK743,SAS743,Mitsubishi CRJ-900LR,Estonia,SAS,,2023-11-07 06:25:00,Copenhagen
departure,LH889,,Airbus A321-231,Germany,Lufthansa,,2023-11-07 06:45:00,Frankfurt
departure,BT983,,,,Air Baltic,,2023-11-07 06:50:00,Tenerife
departure,W68081,WZZ569,Airbus A320-232,Malta,Wizz Air,,2023-11-07 06:51:00,Rome
departure,SK1741,SAS93C,Mitsubishi CRJ-900ER,Estonia,SAS,,2023-11-07 07:00:00,Stockholm
departure,W68031,WZZ9007,Airbus A320-232,Hungary,Wizz Air,,2023-11-07 07:06:00,Dortmund
departure,BT961,,,,Air Baltic,,2023-11-07 07:50:00,Amsterdam
arrival,BT904,,,,Air Baltic,Tallinn,2023-11-07 08:10:00,
arrival,BT341,,,,Air Baltic,Riga,2023-11-07 08:15:00,
departure,HN2861,HST2861,Airbus A320-214,Malta,Valletta Airlines,,2023-11-07 08:25:00,Hurghada
departure,BT903,,,,Air Baltic,,2023-11-07 08:50:00,Tallinn
departure,BT342,,,,Air Baltic,,2023-11-07 08:55:00,Riga
departure,LO780,,,,LOT,,2023-11-07 09:00:00,Warsaw
arrival,AY1101,,ATR 72-500,Finland,Finnair,Helsinki,2023-11-07 09:20:00,
arrival,LO777,,,,LOT,Warsaw,2023-11-07 09:25:00,
departure,AY1102,,ATR 72-500,Finland,Finnair,,2023-11-07 09:50:00,Helsinki
departure,LO778,,,,LOT,,2023-11-07 10:05:00,Warsaw
arrival,SK744,SAS744,Mitsubishi CRJ-900LR,Estonia,SAS,Copenhagen,2023-11-07 10:35:00,
arrival,TK1407,,,,Turkish Airlines,Istanbul,2023-11-07 11:05:00,
departure,SK745,SAS745,Mitsubishi CRJ-900LR,Estonia,SAS,,2023-11-07 11:20:00,Copenhagen
departure,TK1408,,,,Turkish Airlines,,2023-11-07 12:00:00,Istanbul
arrival,W68052,,,,Wizz Air,Milan,2023-11-07 12:10:00,
arrival,DY1082,,,,Norwegian,Oslo,2023-11-07 12:30:00,
arrival,W68082,,,,Wizz Air,Rome,2023-11-07 12:50:00,
arrival,AY1103,,ATR 72-500,Finland,Finnair,Helsinki,2023-11-07 12:55:00,
departure,DY1083,,,,Norwegian,,2023-11-07 13:10:00,Oslo
departure,AY1104,,ATR 72-500,Finland,Finnair,,2023-11-07 13:25:00,Helsinki
arrival,FR1786,,,,Ryanair,Barcelona,2023-11-07 13:25:00,
departure,W68083,,,,Wizz Air,,2023-11-07 13:30:00,Malaga
departure,W68021,,,,Wizz Air,,2023-11-07 13:35:00,Paris
arrival,BT962,,,,Air Baltic,Amsterdam,2023-11-07 13:35:00,
arrival,X98524,NVD8524,Airbus A320-232,Malta,Avion Express,Antalya,2023-11-07 13:40:00,
arrival,LX1340,,,,Swiss,Zurich,2023-11-07 13:40:00,
arrival,,GJT7XU,Boeing 737-83N,Lithuania,Getjet Airlines,Antalya,2023-11-07 13:50:00,
arrival,,GJT9NV,Boeing 737-8FE,Lithuania,Getjet Airlines,Antalya,2023-11-07 13:58:00,
arrival,LO771,,,,LOT,Warsaw,2023-11-07 14:05:00,
arrival,LH886,,,,Lufthansa,Frankfurt,2023-11-07 14:30:00,
departure,LX1341,,,,Swiss,,2023-11-07 14:35:00,Zurich
departure,FR7233,,,,Ryanair,,2023-11-07 14:40:00,Paris
arrival,BT345,,,,Air Baltic,Riga,2023-11-07 14:40:00,
departure,LO772,,,,LOT,,2023-11-07 14:45:00,Warsaw
departure,LH887,,,,Lufthansa,,2023-11-07 15:10:00,Frankfurt
departure,,GJT7JR,Boeing 737-8FE,Lithuania,Getjet Airlines,,2023-11-07 15:10:00,Antalya
arrival,SK1742,SAS34J,Mitsubishi CRJ-900LR,Estonia,SAS,Copenhagen,2023-11-07 15:10:00,
arrival,FR543,,,,Ryanair,London,2023-11-07 15:15:00,
departure,BT346,,,,Air Baltic,,2023-11-07 15:20:00,Riga
departure,FR542,,,,Ryanair,,2023-11-07 15:40:00,London
departure,SK1743,,,,SAS,,2023-11-07 15:45:00,Copenhagen
arrival,LO779,,,,LOT,Warsaw,2023-11-07 16:15:00,
arrival,W68032,,,,Wizz Air,Dortmund,2023-11-07 16:35:00,
arrival,X98702,NVD8702,Airbus A320-232,Malta,Avion Express,Hurghada,2023-11-07 16:40:00,
departure,LO273,,,,LOT,,2023-11-07 17:00:00,London
departure,BT925,,,,Air Baltic,,2023-11-07 17:10:00,Munich
arrival,SK740,,,,SAS,Stockholm,2023-11-07 17:25:00,
departure,SK739,,,,SAS,,2023-11-07 18:00:00,Stockholm
arrival,AY1105,,ATR 72-500,Finland,Finnair,Helsinki,2023-11-07 18:15:00,
arrival,HN2862,HST2862,Airbus A320-214,Malta,Valletta Airlines,Hurghada,2023-11-07 18:28:00,
arrival,LO775,,,,LOT,Warsaw,2023-11-07 18:30:00,
departure,AY1106,,ATR 72-500,Finland,Finnair,,2023-11-07 18:40:00,Helsinki
arrival,TK1409,,,,Turkish Airlines,Istanbul,2023-11-07 19:05:00,
departure,LO776,,,,LOT,,2023-11-07 19:10:00,Warsaw
arrival,BT906,,,,Air Baltic,Tallinn,2023-11-07 19:30:00,
arrival,W68022,,,,Wizz Air,Paris,2023-11-07 19:45:00,
departure,TK1410,,,,Turkish Airlines,,2023-11-07 20:00:00,Istanbul
departure,BT905,,,,Air Baltic,,2023-11-07 20:10:00,Tallinn
arrival,FR7234,,,,Ryanair,Paris,2023-11-07 20:35:00,
arrival,BT347,,,,Air Baltic,Riga,2023-11-07 20:40:00,
arrival,BT984,,,,Air Baltic,Tenerife,2023-11-07 20:45:00,
departure,BT348,,,,Air Baltic,,2023-11-07 21:20:00,Riga
arrival,SK1740,,,,SAS,Stockholm,2023-11-07 21:30:00,
arrival,BT926,,,,Air Baltic,Munich,2023-11-07 22:00:00,
arrival,W68084,,,,Wizz Air,Malaga,2023-11-07 23:10:00,
arrival,LO274,,,,LOT,London,2023-11-07 23:15:00,
arrival,SK742,,,,SAS,Copenhagen,2023-11-07 23:35:00,
arrival,LH888,,,,Lufthansa,Frankfurt,2023-11-07 23:45:00,
arrival,BT349,,,,Air Baltic,Riga,2023-11-07 23:59:00,
arrival,LO773,,,,LOT,Warsaw,2023-11-08 01:00:00,
arrival,U57132,,,,SkyUp Europe,Sharm el-Sheikh,2023-11-08 03:05:00,
departure,U57131,,,,SkyUp Europe,,2023-11-08 04:05:00,Sharm el-Sheikh
departure,BT350,,,,Air Baltic,,2023-11-08 05:30:00,Riga
departure,X98523,,,,Avion Express,,2023-11-08 05:35:00,Antalya
